edHello.agents.Patient@99fa758 | total wait time: 35 | dealt at time point: 35.0
edHello.agents.Patient@7bd56dd5 | total wait time: 36 | dealt at time point: 24558.0
edHello.agents.Patient@4e51800b | total wait time: 34 | dealt at time point: 24617.0
edHello.agents.Patient@710a37cc | total wait time: 6 | dealt at time point: 24650.0
edHello.agents.Patient@dda9982 | total wait time: 6 | dealt at time point: 24712.0
edHello.agents.Patient@5e9fa84 | total wait time: 6 | dealt at time point: 24773.0
edHello.agents.Patient@24e90df9 | total wait time: 36 | dealt at time point: 24863.0
edHello.agents.Patient@9d9eef3 | total wait time: 5 | dealt at time point: 24893.0
edHello.agents.Patient@7d1229bf | total wait time: 37 | dealt at time point: 24987.0
edHello.agents.Patient@7703b55e | total wait time: 6 | dealt at time point: 25016.0
edHello.agents.Patient@70b4cf2b | total wait time: 35 | dealt at time point: 25106.0
edHello.agents.Patient@9622f60 | total wait time: 5 | dealt at time point: 25138.0
edHello.agents.Patient@5d7f0617 | total wait time: 4 | dealt at time point: 25198.0
edHello.agents.Patient@39731e7f | total wait time: 6 | dealt at time point: 25261.0
edHello.agents.Patient@1501e713 | total wait time: 5 | dealt at time point: 25321.0
edHello.agents.Patient@3daa284a | total wait time: 35 | dealt at time point: 25411.0
edHello.agents.Patient@9550360 | total wait time: 5 | dealt at time point: 25443.0
edHello.agents.Patient@520e938b | total wait time: 35 | dealt at time point: 25533.0
edHello.agents.Patient@d792190 | total wait time: 4 | dealt at time point: 25564.0
edHello.agents.Patient@674f2c98 | total wait time: 5 | dealt at time point: 25626.0
edHello.agents.Patient@144c0cff | total wait time: 6 | dealt at time point: 25688.0
edHello.agents.Patient@50768b70 | total wait time: 6 | dealt at time point: 25748.0
edHello.agents.Patient@756dce2d | total wait time: 6 | dealt at time point: 25809.0
edHello.agents.Patient@2f7afc32 | total wait time: 35 | dealt at time point: 25899.0
edHello.agents.Patient@44cb41fc | total wait time: 5 | dealt at time point: 25931.0
edHello.agents.Patient@c0e3267 | total wait time: 5 | dealt at time point: 25992.0
edHello.agents.Patient@457ff992 | total wait time: 34 | dealt at time point: 26081.0
edHello.agents.Patient@2ba8505d | total wait time: 35 | dealt at time point: 26144.0
edHello.agents.Patient@278e6e27 | total wait time: 6 | dealt at time point: 26176.0
edHello.agents.Patient@42ff670f | total wait time: 35 | dealt at time point: 26266.0
edHello.agents.Patient@6ba05f21 | total wait time: 6 | dealt at time point: 26298.0
edHello.agents.Patient@155fa394 | total wait time: 6 | dealt at time point: 26359.0
edHello.agents.Patient@591f411a | total wait time: 5 | dealt at time point: 26418.0
edHello.agents.Patient@35b52c22 | total wait time: 35 | dealt at time point: 26510.0
edHello.agents.Patient@2597ba71 | total wait time: 6 | dealt at time point: 26541.0
edHello.agents.Patient@5959a11a | total wait time: 6 | dealt at time point: 26603.0
edHello.agents.Patient@2a1303db | total wait time: 5 | dealt at time point: 26662.0
edHello.agents.Patient@665bd5dd | total wait time: 5 | dealt at time point: 26724.0
edHello.agents.Patient@257ceb9f | total wait time: 4 | dealt at time point: 26784.0
edHello.agents.Patient@4448f8c5 | total wait time: 6 | dealt at time point: 26846.0
edHello.agents.Patient@1bae80e | total wait time: 6 | dealt at time point: 26907.0
edHello.agents.Patient@2189746a | total wait time: 36 | dealt at time point: 26998.0
edHello.agents.Patient@4f2b14a4 | total wait time: 5 | dealt at time point: 27028.0
edHello.agents.Patient@681c5efc | total wait time: 6 | dealt at time point: 27090.0
edHello.agents.Patient@3d2c77f7 | total wait time: 5 | dealt at time point: 27150.0
edHello.agents.Patient@7837a4e0 | total wait time: 36 | dealt at time point: 27242.0
edHello.agents.Patient@24f6932e | total wait time: 36 | dealt at time point: 27303.0
edHello.agents.Patient@683bf9b3 | total wait time: 4 | dealt at time point: 27333.0
edHello.agents.Patient@46727c6c | total wait time: 6 | dealt at time point: 27395.0
edHello.agents.Patient@70fd9af6 | total wait time: 6 | dealt at time point: 27457.0
edHello.agents.Patient@7b0be920 | total wait time: 5 | dealt at time point: 27517.0
edHello.agents.Patient@45ea93af | total wait time: 5 | dealt at time point: 27578.0
edHello.agents.Patient@45faabc8 | total wait time: 6 | dealt at time point: 27639.0
edHello.agents.Patient@7df0cb7e | total wait time: 36 | dealt at time point: 27731.0
edHello.agents.Patient@543617f8 | total wait time: 5 | dealt at time point: 27761.0
edHello.agents.Patient@455ecf0e | total wait time: 39 | dealt at time point: 27855.0
edHello.agents.Patient@1c78b33 | total wait time: 37 | dealt at time point: 27914.0
edHello.agents.Patient@742e9a5f | total wait time: 34 | dealt at time point: 27973.0
edHello.agents.Patient@28eacbd2 | total wait time: 6 | dealt at time point: 28005.0
edHello.agents.Patient@224e7836 | total wait time: 5 | dealt at time point: 28066.0
edHello.agents.Patient@1b2ad498 | total wait time: 5 | dealt at time point: 28127.0
edHello.agents.Patient@625a4827 | total wait time: 5 | dealt at time point: 28188.0
edHello.agents.Patient@4b400f43 | total wait time: 5 | dealt at time point: 28248.0
edHello.agents.Patient@11ebf601 | total wait time: 5 | dealt at time point: 28310.0
edHello.agents.Patient@36a6e4f | total wait time: 6 | dealt at time point: 28372.0
edHello.agents.Patient@5e4d4486 | total wait time: 38 | dealt at time point: 28464.0
edHello.agents.Patient@4d8153d | total wait time: 34 | dealt at time point: 28521.0
edHello.agents.Patient@6ef98295 | total wait time: 5 | dealt at time point: 28554.0
edHello.agents.Patient@9db7dfc | total wait time: 35 | dealt at time point: 28645.0
edHello.agents.Patient@425eba2c | total wait time: 5 | dealt at time point: 28676.0
edHello.agents.Patient@52d7bcdc | total wait time: 6 | dealt at time point: 28737.0
edHello.agents.Patient@e7900e9 | total wait time: 5 | dealt at time point: 28797.0
edHello.agents.Patient@6ecb19c3 | total wait time: 5 | dealt at time point: 28858.0
edHello.agents.Patient@2149aab6 | total wait time: 6 | dealt at time point: 28920.0
edHello.agents.Patient@7caa5e94 | total wait time: 5 | dealt at time point: 28980.0
edHello.agents.Patient@4441e58a | total wait time: 37 | dealt at time point: 29074.0
edHello.agents.Patient@4a673ef4 | total wait time: 6 | dealt at time point: 29103.0
edHello.agents.Patient@19c21847 | total wait time: 7 | dealt at time point: 29165.0
edHello.agents.Patient@12a3b1be | total wait time: 4 | dealt at time point: 29224.0
edHello.agents.Patient@7a3a7cd | total wait time: 35 | dealt at time point: 29316.0
edHello.agents.Patient@77fc6f04 | total wait time: 6 | dealt at time point: 29347.0
edHello.agents.Patient@33004885 | total wait time: 6 | dealt at time point: 29408.0
edHello.agents.Patient@69eb5406 | total wait time: 7 | dealt at time point: 29470.0
edHello.agents.Patient@1b83e4e2 | total wait time: 37 | dealt at time point: 29562.0
edHello.agents.Patient@400c42e | total wait time: 7 | dealt at time point: 29592.0
edHello.agents.Patient@5835e7f7 | total wait time: 36 | dealt at time point: 29682.0
edHello.agents.Patient@4420ea74 | total wait time: 35 | dealt at time point: 29742.0
edHello.agents.Patient@69999f6b | total wait time: 5 | dealt at time point: 29774.0
edHello.agents.Patient@1707e42b | total wait time: 5 | dealt at time point: 29835.0
edHello.agents.Patient@50f15e81 | total wait time: 4 | dealt at time point: 29895.0
edHello.agents.Patient@751882e9 | total wait time: 6 | dealt at time point: 29957.0
edHello.agents.Patient@1b3e2966 | total wait time: 5 | dealt at time point: 30018.0
edHello.agents.Patient@7b5993e1 | total wait time: 36 | dealt at time point: 30110.0
edHello.agents.Patient@2a3158c4 | total wait time: 6 | dealt at time point: 30140.0
edHello.agents.Patient@1b8ced69 | total wait time: 37 | dealt at time point: 30232.0
edHello.agents.Patient@6a99b4d | total wait time: 6 | dealt at time point: 30263.0
edHello.agents.Patient@5323c67f | total wait time: 6 | dealt at time point: 30324.0
edHello.agents.Patient@71916cef | total wait time: 6 | dealt at time point: 30384.0
edHello.agents.Patient@2db202b7 | total wait time: 6 | dealt at time point: 30445.0
edHello.agents.Patient@25e3133a | total wait time: 6 | dealt at time point: 30506.0
edHello.agents.Patient@6ed244d1 | total wait time: 38 | dealt at time point: 30600.0
edHello.agents.Patient@192ce668 | total wait time: 38 | dealt at time point: 30661.0
edHello.agents.Patient@76ea6e3e | total wait time: 4 | dealt at time point: 30688.0
edHello.agents.Patient@35ffab35 | total wait time: 5 | dealt at time point: 30749.0
edHello.agents.Patient@58d5103a | total wait time: 35 | dealt at time point: 30840.0
edHello.agents.Patient@721b3e07 | total wait time: 5 | dealt at time point: 30872.0
edHello.agents.Patient@2fe98364 | total wait time: 6 | dealt at time point: 30933.0
edHello.agents.Patient@6cbc579e | total wait time: 6 | dealt at time point: 30994.0
edHello.agents.Patient@4168b37e | total wait time: 6 | dealt at time point: 31056.0
edHello.agents.Patient@646d8d5a | total wait time: 6 | dealt at time point: 31116.0
edHello.agents.Patient@22defa27 | total wait time: 36 | dealt at time point: 31207.0
edHello.agents.Patient@37f954d3 | total wait time: 7 | dealt at time point: 31239.0
edHello.agents.Patient@578466c0 | total wait time: 4 | dealt at time point: 31298.0
edHello.agents.Patient@34ce9ada | total wait time: 6 | dealt at time point: 31361.0
edHello.agents.Patient@25431629 | total wait time: 6 | dealt at time point: 31422.0
edHello.agents.Patient@61ec78c4 | total wait time: 35 | dealt at time point: 31512.0
edHello.agents.Patient@33e192af | total wait time: 4 | dealt at time point: 31542.0
edHello.agents.Patient@40c90945 | total wait time: 35 | dealt at time point: 31634.0
edHello.agents.Patient@43434923 | total wait time: 35 | dealt at time point: 31695.0
edHello.agents.Patient@3a8a8f09 | total wait time: 37 | dealt at time point: 31757.0
edHello.agents.Patient@1caf2d50 | total wait time: 6 | dealt at time point: 31788.0
edHello.agents.Patient@31d4929d | total wait time: 50 | dealt at time point: 50.0
edHello.agents.Patient@3c31369a | total wait time: 40 | dealt at time point: 102.0
edHello.agents.Patient@762402d7 | total wait time: 42 | dealt at time point: 165.0
edHello.agents.Patient@1b5a3a8b | total wait time: 40 | dealt at time point: 224.0
edHello.agents.Patient@6e040ac2 | total wait time: 5 | dealt at time point: 250.0
edHello.agents.Patient@1e838334 | total wait time: 7 | dealt at time point: 312.0
edHello.agents.Patient@6f8e91c4 | total wait time: 35 | dealt at time point: 402.0
edHello.agents.Patient@4b10ea24 | total wait time: 5 | dealt at time point: 432.0
edHello.agents.Patient@5f8fdcd7 | total wait time: 6 | dealt at time point: 494.0
edHello.agents.Patient@1b9a9305 | total wait time: 42 | dealt at time point: 592.0
edHello.agents.Patient@54d3fc77 | total wait time: 34 | dealt at time point: 645.0
edHello.agents.Patient@6948db2 | total wait time: 6 | dealt at time point: 678.0
edHello.agents.Patient@6c05e3c2 | total wait time: 5 | dealt at time point: 737.0
edHello.agents.Patient@597c027e | total wait time: 4 | dealt at time point: 798.0
edHello.agents.Patient@110152a9 | total wait time: 5 | dealt at time point: 859.0
edHello.agents.Patient@5323b21a | total wait time: 6 | dealt at time point: 922.0
edHello.agents.Patient@5c21b836 | total wait time: 5 | dealt at time point: 981.0
edHello.agents.Patient@5beae576 | total wait time: 34 | dealt at time point: 1072.0
edHello.agents.Patient@4f9b64a4 | total wait time: 36 | dealt at time point: 1134.0
edHello.agents.Patient@6a37e95b | total wait time: 36 | dealt at time point: 1196.0
edHello.agents.Patient@1fbec19 | total wait time: 7 | dealt at time point: 1227.0
edHello.agents.Patient@30160eb5 | total wait time: 36 | dealt at time point: 1318.0
edHello.agents.Patient@58f008da | total wait time: 6 | dealt at time point: 1348.0
edHello.agents.Patient@1e5f4fa0 | total wait time: 6 | dealt at time point: 1410.0
edHello.agents.Patient@716024b6 | total wait time: 36 | dealt at time point: 1501.0
edHello.agents.Patient@79b26f67 | total wait time: 7 | dealt at time point: 1532.0
edHello.agents.Patient@57f2775e | total wait time: 38 | dealt at time point: 1624.0
edHello.agents.Patient@4f862ab8 | total wait time: 6 | dealt at time point: 1654.0
edHello.agents.Patient@e55f602 | total wait time: 5 | dealt at time point: 1713.0
edHello.agents.Patient@c3b8bbc | total wait time: 5 | dealt at time point: 1775.0
edHello.agents.Patient@48e015cf | total wait time: 7 | dealt at time point: 1837.0
edHello.agents.Patient@99c2691 | total wait time: 4 | dealt at time point: 1896.0
edHello.agents.Patient@68d6ffbc | total wait time: 35 | dealt at time point: 1987.0
edHello.agents.Patient@f9d467 | total wait time: 6 | dealt at time point: 2019.0
edHello.agents.Patient@35f73ae1 | total wait time: 6 | dealt at time point: 2080.0
edHello.agents.Patient@1fba1b02 | total wait time: 7 | dealt at time point: 2142.0
edHello.agents.Patient@6539cccb | total wait time: 38 | dealt at time point: 2235.0
edHello.agents.Patient@347309da | total wait time: 5 | dealt at time point: 2263.0
edHello.agents.Patient@7561723 | total wait time: 5 | dealt at time point: 2324.0
edHello.agents.Patient@55c048b6 | total wait time: 6 | dealt at time point: 2386.0
edHello.agents.Patient@466df495 | total wait time: 35 | dealt at time point: 2475.0
edHello.agents.Patient@9639dc4 | total wait time: 35 | dealt at time point: 2536.0
edHello.agents.Patient@47b8ae25 | total wait time: 5 | dealt at time point: 2568.0
edHello.agents.Patient@1bf258b1 | total wait time: 37 | dealt at time point: 2660.0
edHello.agents.Patient@67504117 | total wait time: 5 | dealt at time point: 2689.0
edHello.agents.Patient@286b0599 | total wait time: 6 | dealt at time point: 2751.0
edHello.agents.Patient@dc6e03e | total wait time: 6 | dealt at time point: 2812.0
edHello.agents.Patient@687399e1 | total wait time: 36 | dealt at time point: 2904.0
edHello.agents.Patient@5a2c5cc3 | total wait time: 37 | dealt at time point: 2966.0
edHello.agents.Patient@7413ed9 | total wait time: 35 | dealt at time point: 3025.0
edHello.agents.Patient@bbc8123 | total wait time: 39 | dealt at time point: 3089.0
edHello.agents.Patient@2fa8c805 | total wait time: 5 | dealt at time point: 3117.0
edHello.agents.Patient@2adbdfda | total wait time: 6 | dealt at time point: 3178.0
edHello.agents.Patient@18ef61b6 | total wait time: 6 | dealt at time point: 3239.0
edHello.agents.Patient@1eb756b4 | total wait time: 6 | dealt at time point: 3300.0
edHello.agents.Patient@5af0c8dc | total wait time: 7 | dealt at time point: 3362.0
edHello.agents.Patient@189d8d22 | total wait time: 39 | dealt at time point: 3455.0
edHello.agents.Patient@32de407 | total wait time: 36 | dealt at time point: 3513.0
edHello.agents.Patient@528821b9 | total wait time: 4 | dealt at time point: 3543.0
edHello.agents.Patient@208c619f | total wait time: 6 | dealt at time point: 3605.0
edHello.agents.Patient@13af51cb | total wait time: 37 | dealt at time point: 3697.0
edHello.agents.Patient@77867b89 | total wait time: 5 | dealt at time point: 3726.0
edHello.agents.Patient@70d5e56f | total wait time: 36 | dealt at time point: 3819.0
edHello.agents.Patient@7c5dfc32 | total wait time: 5 | dealt at time point: 3849.0
edHello.agents.Patient@2aa9e21b | total wait time: 7 | dealt at time point: 3911.0
edHello.agents.Patient@12c81de8 | total wait time: 35 | dealt at time point: 4001.0
simcore.agents.Patient@4c37de68 | total wait time: 57 | dealt at time point: 58.0
simcore.agents.Patient@23df5d71 | total wait time: 13 | dealt at time point: 75.0
simcore.agents.Patient@331262aa | total wait time: 5 | dealt at time point: 128.0
simcore.agents.Patient@6e20de5e | total wait time: 5 | dealt at time point: 188.0
simcore.agents.Patient@3910ada | total wait time: 18 | dealt at time point: 263.0
simcore.agents.Patient@62ee3fc3 | total wait time: 36 | dealt at time point: 342.0
simcore.agents.Patient@4570a619 | total wait time: 43 | dealt at time point: 409.0
simcore.agents.Patient@1ed62519 | total wait time: 6 | dealt at time point: 433.0
simcore.agents.Patient@32341eee | total wait time: 52 | dealt at time point: 541.0
simcore.agents.Patient@bb66ac4 | total wait time: 6 | dealt at time point: 555.0
simcore.agents.Patient@6c7700b2 | total wait time: 6 | dealt at time point: 616.0
simcore.agents.Patient@e165758 | total wait time: 6 | dealt at time point: 677.0
simcore.agents.Patient@14c2ca0 | total wait time: 35 | dealt at time point: 768.0
simcore.agents.Patient@487cf946 | total wait time: 6 | dealt at time point: 799.0
simcore.agents.Patient@49eb678d | total wait time: 37 | dealt at time point: 892.0
simcore.agents.Patient@13e7fd16 | total wait time: 6 | dealt at time point: 921.0
simcore.agents.Patient@14467524 | total wait time: 5 | dealt at time point: 982.0
simcore.agents.Patient@4a1da6d6 | total wait time: 5 | dealt at time point: 1043.0
simcore.agents.Patient@7dfefb13 | total wait time: 4 | dealt at time point: 1103.0
simcore.agents.Patient@3d350853 | total wait time: 37 | dealt at time point: 1197.0
simcore.agents.Patient@61eea166 | total wait time: 5 | dealt at time point: 1226.0
simcore.agents.Patient@5f1179fb | total wait time: 7 | dealt at time point: 1288.0
simcore.agents.Patient@60e20f6b | total wait time: 5 | dealt at time point: 1348.0
simcore.agents.Patient@1521ad78 | total wait time: 38 | dealt at time point: 1441.0
simcore.agents.Patient@4961ecee | total wait time: 36 | dealt at time point: 1501.0
simcore.agents.Patient@10a8d63d | total wait time: 5 | dealt at time point: 1531.0
simcore.agents.Patient@17cbed28 | total wait time: 38 | dealt at time point: 1624.0
simcore.agents.Patient@3fdb3d88 | total wait time: 5 | dealt at time point: 1653.0
simcore.agents.Patient@27df6808 | total wait time: 35 | dealt at time point: 1743.0
simcore.agents.Patient@2b34fd1c | total wait time: 6 | dealt at time point: 1775.0
simcore.agents.Patient@19914a20 | total wait time: 35 | dealt at time point: 1866.0
simcore.agents.Patient@3babe346 | total wait time: 6 | dealt at time point: 1897.0
simcore.agents.Patient@38f13333 | total wait time: 6 | dealt at time point: 1958.0
simcore.agents.Patient@1f2fd58f | total wait time: 5 | dealt at time point: 2019.0
simcore.agents.Patient@1b4c8b2a | total wait time: 36 | dealt at time point: 2110.0
simcore.agents.Patient@33d224af | total wait time: 5 | dealt at time point: 2141.0
simcore.agents.Patient@50b32900 | total wait time: 37 | dealt at time point: 2233.0
simcore.agents.Patient@18ab7bde | total wait time: 6 | dealt at time point: 2264.0
simcore.agents.Patient@4bc86436 | total wait time: 5 | dealt at time point: 2324.0
simcore.agents.Patient@2b6e854b | total wait time: 35 | dealt at time point: 2415.0
simcore.agents.Patient@242b1c28 | total wait time: 6 | dealt at time point: 2447.0
simcore.agents.Patient@2216fa29 | total wait time: 6 | dealt at time point: 2507.0
simcore.agents.Patient@77449fdf | total wait time: 7 | dealt at time point: 2569.0
simcore.agents.Patient@73bba8da | total wait time: 6 | dealt at time point: 2630.0
simcore.agents.Patient@754eea8a | total wait time: 5 | dealt at time point: 2690.0
simcore.agents.Patient@63b6cfef | total wait time: 4 | dealt at time point: 2750.0
simcore.agents.Patient@4729b0a | total wait time: 36 | dealt at time point: 2842.0
simcore.agents.Patient@11dfae6d | total wait time: 6 | dealt at time point: 2873.0
simcore.agents.Patient@15d727d6 | total wait time: 6 | dealt at time point: 2934.0
simcore.agents.Patient@1b1b8af5 | total wait time: 37 | dealt at time point: 3026.0
simcore.agents.Patient@4b248671 | total wait time: 6 | dealt at time point: 3057.0
simcore.agents.Patient@3384f850 | total wait time: 5 | dealt at time point: 3116.0
simcore.agents.Patient@211202ed | total wait time: 38 | dealt at time point: 3210.0
simcore.agents.Patient@12a1dc1f | total wait time: 6 | dealt at time point: 3239.0
simcore.agents.Patient@2e13a54c | total wait time: 36 | dealt at time point: 3330.0
simcore.agents.Patient@162cfe1e | total wait time: 35 | dealt at time point: 3391.0
simcore.agents.Patient@4ddada31 | total wait time: 38 | dealt at time point: 3454.0
simcore.agents.Patient@45989cd5 | total wait time: 35 | dealt at time point: 3512.0
simcore.agents.Patient@2de48a78 | total wait time: 6 | dealt at time point: 3544.0
simcore.agents.Patient@6c4660bf | total wait time: 6 | dealt at time point: 3605.0
simcore.agents.Patient@3ee1e652 | total wait time: 35 | dealt at time point: 3696.0
simcore.agents.Patient@30c60243 | total wait time: 36 | dealt at time point: 3757.0
simcore.agents.Patient@274fc304 | total wait time: 5 | dealt at time point: 3787.0
simcore.agents.Patient@1c943c18 | total wait time: 7 | dealt at time point: 3850.0
simcore.agents.Patient@235ba0ea | total wait time: 36 | dealt at time point: 3940.0
simcore.agents.Patient@2f1584ef | total wait time: 5 | dealt at time point: 3971.0
simcore.agents.Patient@38271955 | total wait time: 5 | dealt at time point: 4031.0
simcore.agents.Patient@6a29cf53 | total wait time: 37 | dealt at time point: 4124.0
simcore.agents.Patient@17fb23bb | total wait time: 37 | dealt at time point: 4185.0
simcore.agents.Patient@3da169fe | total wait time: 35 | dealt at time point: 4244.0
simcore.agents.Patient@30c379af | total wait time: 5 | dealt at time point: 4276.0
simcore.agents.Patient@5d7e4315 | total wait time: 35 | dealt at time point: 4366.0
simcore.agents.Patient@43b00edd | total wait time: 6 | dealt at time point: 4399.0
simcore.agents.Patient@6ddc861e | total wait time: 36 | dealt at time point: 4489.0
simcore.agents.Patient@298c853e | total wait time: 37 | dealt at time point: 4551.0
simcore.agents.Patient@5ee29491 | total wait time: 6 | dealt at time point: 4581.0
simcore.agents.Patient@76019134 | total wait time: 5 | dealt at time point: 4642.0
simcore.agents.Patient@48b0c6f0 | total wait time: 35 | dealt at time point: 4732.0
simcore.agents.Patient@93c6e2 | total wait time: 5 | dealt at time point: 4764.0
simcore.agents.Patient@1954c7d2 | total wait time: 38 | dealt at time point: 4857.0
simcore.agents.Patient@1aed1305 | total wait time: 6 | dealt at time point: 4886.0
simcore.agents.Patient@3627a435 | total wait time: 7 | dealt at time point: 4948.0
simcore.agents.Patient@5ca197f7 | total wait time: 34 | dealt at time point: 5037.0
simcore.agents.Patient@77c61c90 | total wait time: 6 | dealt at time point: 5069.0
simcore.agents.Patient@261ae0b3 | total wait time: 6 | dealt at time point: 5130.0
simcore.agents.Patient@5f7ab0f8 | total wait time: 36 | dealt at time point: 5222.0
simcore.agents.Patient@947b54c | total wait time: 6 | dealt at time point: 5252.0
simcore.agents.Patient@1a60e2c9 | total wait time: 6 | dealt at time point: 5313.0
simcore.agents.Patient@178fc4d7 | total wait time: 6 | dealt at time point: 5375.0
simcore.agents.Patient@1265e9b | total wait time: 37 | dealt at time point: 5466.0
simcore.agents.Patient@aaf4a5c | total wait time: 5 | dealt at time point: 5495.0
simcore.agents.Patient@1f348ee1 | total wait time: 5 | dealt at time point: 5557.0
simcore.agents.Patient@5e9be4eb | total wait time: 5 | dealt at time point: 5617.0
simcore.agents.Patient@1101e004 | total wait time: 37 | dealt at time point: 5710.0
simcore.agents.Patient@7cf05fcd | total wait time: 6 | dealt at time point: 5740.0
simcore.agents.Patient@674c69b0 | total wait time: 6 | dealt at time point: 5802.0
simcore.agents.Patient@34886f3d | total wait time: 5 | dealt at time point: 5862.0
simcore.agents.Patient@7759c5f8 | total wait time: 6 | dealt at time point: 5924.0
simcore.agents.Patient@1fa11fb8 | total wait time: 6 | dealt at time point: 5985.0
simcore.agents.Patient@24ff4b93 | total wait time: 5 | dealt at time point: 6044.0
simcore.agents.Patient@4926cd50 | total wait time: 36 | dealt at time point: 6137.0
simcore.agents.Patient@537a53d8 | total wait time: 7 | dealt at time point: 6168.0
simcore.agents.Patient@70267655 | total wait time: 38 | dealt at time point: 6261.0
simcore.agents.Patient@12364317 | total wait time: 7 | dealt at time point: 6290.0
simcore.agents.Patient@18472332 | total wait time: 35 | dealt at time point: 6379.0
simcore.agents.Patient@3c69e145 | total wait time: 35 | dealt at time point: 6440.0
simcore.agents.Patient@c591a8c | total wait time: 38 | dealt at time point: 6504.0
simcore.agents.Patient@6820e151 | total wait time: 5 | dealt at time point: 6533.0
simcore.agents.Patient@21691c45 | total wait time: 38 | dealt at time point: 6627.0
simcore.agents.Patient@7aa7c17 | total wait time: 6 | dealt at time point: 6655.0
simcore.agents.Patient@21c513b3 | total wait time: 6 | dealt at time point: 6717.0
simcore.agents.Patient@635a430c | total wait time: 6 | dealt at time point: 6777.0
simcore.agents.Patient@30cd7df9 | total wait time: 6 | dealt at time point: 6838.0
simcore.agents.Patient@2b17d797 | total wait time: 36 | dealt at time point: 6930.0
simcore.agents.Patient@2bb553d3 | total wait time: 36 | dealt at time point: 6990.0
simcore.agents.Patient@4b60cee | total wait time: 6 | dealt at time point: 7022.0
simcore.agents.Patient@3ef9be4c | total wait time: 5 | dealt at time point: 7082.0
simcore.agents.Patient@43b4f49d | total wait time: 36 | dealt at time point: 7174.0
simcore.agents.Patient@1e030402 | total wait time: 6 | dealt at time point: 7205.0
simcore.agents.Patient@4567cc7b | total wait time: 7 | dealt at time point: 7266.0
simcore.agents.Patient@2027bb40 | total wait time: 6 | dealt at time point: 7327.0
simcore.agents.Patient@2abfe1de | total wait time: 4 | dealt at time point: 7386.0
simcore.agents.Patient@76dcf89 | total wait time: 6 | dealt at time point: 7448.0
simcore.agents.Patient@4b529d3d | total wait time: 37 | dealt at time point: 7540.0
simcore.agents.Patient@729ae151 | total wait time: 37 | dealt at time point: 7601.0
simcore.agents.Patient@30875a1f | total wait time: 7 | dealt at time point: 7632.0
simcore.agents.Patient@14806911 | total wait time: 5 | dealt at time point: 7691.0
simcore.agents.Patient@7472d5c7 | total wait time: 5 | dealt at time point: 7753.0
simcore.agents.Patient@71f434a2 | total wait time: 35 | dealt at time point: 7844.0
simcore.agents.Patient@351d8246 | total wait time: 6 | dealt at time point: 7875.0
simcore.agents.Patient@499b65ca | total wait time: 6 | dealt at time point: 7936.0
simcore.agents.Patient@6f7a4a72 | total wait time: 6 | dealt at time point: 7997.0
simcore.agents.Patient@e0d8efc | total wait time: 37 | dealt at time point: 8089.0
simcore.agents.Patient@18a3c31e | total wait time: 5 | dealt at time point: 8119.0
simcore.agents.Patient@60eb5ea9 | total wait time: 37 | dealt at time point: 8212.0
simcore.agents.Patient@4390aa73 | total wait time: 34 | dealt at time point: 8270.0
simcore.agents.Patient@f545f49 | total wait time: 6 | dealt at time point: 8302.0
simcore.agents.Patient@320f6ba | total wait time: 6 | dealt at time point: 8363.0
simcore.agents.Patient@26704484 | total wait time: 35 | dealt at time point: 8454.0
simcore.agents.Patient@18878909 | total wait time: 36 | dealt at time point: 8515.0
simcore.agents.Patient@221280e9 | total wait time: 6 | dealt at time point: 8547.0
simcore.agents.Patient@128427f5 | total wait time: 5 | dealt at time point: 8606.0
simcore.agents.Patient@36ed7947 | total wait time: 5 | dealt at time point: 8668.0
simcore.agents.Patient@4c69fa6e | total wait time: 5 | dealt at time point: 8729.0
simcore.agents.Patient@13aba6d8 | total wait time: 34 | dealt at time point: 8819.0
simcore.agents.Patient@aebb4be | total wait time: 36 | dealt at time point: 8882.0
simcore.agents.Patient@5aeeab9d | total wait time: 37 | dealt at time point: 8944.0
simcore.agents.Patient@491f8c3c | total wait time: 35 | dealt at time point: 9002.0
simcore.agents.Patient@70d4f163 | total wait time: 38 | dealt at time point: 9067.0
simcore.agents.Patient@686c317d | total wait time: 4 | dealt at time point: 9094.0
simcore.agents.Patient@74e67f2a | total wait time: 6 | dealt at time point: 9156.0
simcore.agents.Patient@441be59d | total wait time: 36 | dealt at time point: 9248.0
simcore.agents.Patient@5116e5f7 | total wait time: 39 | dealt at time point: 9312.0
simcore.agents.Patient@52ca56b1 | total wait time: 5 | dealt at time point: 9338.0
simcore.agents.Patient@5c73db37 | total wait time: 4 | dealt at time point: 9399.0
simcore.agents.Patient@59dd8c9a | total wait time: 6 | dealt at time point: 9462.0
simcore.agents.Patient@6bca0f84 | total wait time: 37 | dealt at time point: 9554.0
simcore.agents.Patient@d3499c2 | total wait time: 5 | dealt at time point: 9583.0
simcore.agents.Patient@6d09cc5 | total wait time: 35 | dealt at time point: 9674.0
simcore.agents.Patient@3708bca2 | total wait time: 4 | dealt at time point: 9704.0
simcore.agents.Patient@699daefd | total wait time: 36 | dealt at time point: 9796.0
simcore.agents.Patient@5c110397 | total wait time: 6 | dealt at time point: 9827.0
simcore.agents.Patient@50d2eabe | total wait time: 5 | dealt at time point: 9887.0
simcore.agents.Patient@7e787a8d | total wait time: 6 | dealt at time point: 9949.0
simcore.agents.Patient@40cf95bc | total wait time: 5 | dealt at time point: 10010.0
